word,pos,definition
talsik,,"talsik n. 1. splash of liquid; 2. sudden flight of splinters, sparks, etc."
talsik,,talsik n. dismissal from office [fig.]
talsikan,,"talsikan (tinatalsikan, tinalsikan, tatalsikan) v., inf. be hit (by a splash of water, liquid, mud, etc.)"
taltaguhit,,n. chart
taltak,,taltak n. sound produced by the tongue against the back of the upper teeth
taltalan,,n. loud dispute; war of words
talubanat,,talubanat adj. tight-fitting (ref. to clothes)
talubata,,talubata adj. of medium age (25-35)
taludtod,,"taludtod n. line (of poetry, etc.)"
taludturan,,taludturan n. paragraph; stanza
taluhaba,,taluhaba adj. oval; oval-shaped; oblong; elongated
taluhin,,"(tinatalo, tinalo, tataluhin) v., inf. 1. defeat; 2. trounce; 3. beat; 4. floor [fig.]"
talukab,,"n. the hard shell of crustaceans, crabs, or the like"
talukap,,n. 1. sheath of palm leaves; 2. eyelid
talukap ng mata,,mata comp. eyelid
talukay,,n. trinomial (mathematics)
talukbong,,talukbong n. veil; covering for the head
talukbungan,,"talukbungan (tinatalukbungan, tinalukbungan, tatalukbungan) v., inf. cover one's head and face with a veil, etc."
taluktok,,taluktok n. apex; pinnacle; peak
talulo,,"n., bot. rattan (species of)"
talulo,,talulo n. 1. flower bud; 2. conical container; 3. cone (mathematics)
talulot,,n. petal (of a flower)
talumpati,,talumpati n. speech; talk; address; discourse
talumpatian,,talumpatian n. session of public addresses; public speaking contest
talumpok,,"talumpok n. 1. heap of unthrashed rice; 2. heap of sand, etc.; 3. star group"
talumpon,,talumpon n. star cluster
talunan,,1. n.; 2. adj. 1. underdog; 2. defeated; beaten
talundas,,n. tunnel diode (tele-engineering)
talungtong,,talungtong n. granary; barn
talunin,,"(tinatalo, tinalo, tatalunin) v., inf. defeat; trounce; beat; floor [fig.]"
talunin,,"talunin (tinatalon, tinalon, tatalunin) v., inf. 1. jump; leap; 2. plunge"
taluning ganap,,"taluning ganap (tinatalong, tinalong, tataluning (ganap)) v., inf. defeat completely"
talunton,,talunton n. 1. line; row; path; 2. rule; regulation; precept
taluntunin,,"taluntunin (tinatalunton, tinalunton, tataluntunin) v., inf. 1. follow (a direction, etc.); 2. trace; 3. follow a rule, etc."
talupak,,n. sheathing on the upper part of the trunk of palms
talupan,,"(tinatalupan, tinalupan, tatalupan) v., inf. peel; pare; skin"
talurami,,n. third power (mathematics)
talurang,,n. landing on a staircase
talurok,,adj. very steep; precipitous
talusalang,,talusalang adj. delicate; very sensitive
talusin,,"talusin (tinatalos, tinalos, tatalusin) v., inf. get information about; learn"
taluugat,,n. cube root (mathematics)
talya,,n. 1. stature; posture; 2. sculpture; wood carving
talyada,,adj. cut; carved; engraved
talyasi,,talyasi n. iron vat for cooking
talye,,n. form; shape; figure
talyer,,talyer n. workshop; garage for repairing cars
Talyum,,n. Thallium (Tl) (chemistry)
tama,,tama adj. 1. correct; 2. all right; 3. reliable; 4. exact
tama,,tama n. right fit
tama,,tama n. right or correct answer
tama,,"tama n. successful shot, strike or hit"
tama,,"tama n. that which is morallly right, good or lawful"
tama,,tama n. winning number
tama,,tama n. wound caused by a bullet
Tama na,,Tama na! intrj. That's enough!
tama sa,,tama sa comp. in accordance with
tamaan,,"(tinatamaan, tinamaan, tatamaan) v., inf. 1. answer correctly; 2. hit the mark; 3. get the winning number"
tamad,,tamad adj. lazy; idle; sluggish; truant
tamad-tamaran,,tamad-tamaran n. 1. unwillingness to work; 2. pretended laziness
tamak,,tamak adj. 1. soaked; 2. serious
tamales,,n. Mexican dish (of food)
tamang-tama,,tamang-tama adj. 1. absolutely correct; 2. ideal; 3. suitable; opportune
tamang-tama sa oras,,tamang-tama comp. timely; at the right time
tamaraw,,"tamaraw n., zoo. carabao (wild)"
tamarin,,"tamarin (tinatamad, tinamad, tatamarin) v., inf. be lazy"
tamarind,,"tamarind n., bot. tamarind"
tamarindo,,"n., bot. tamarind"
tamasahin,,"(tinatamasa, tinamasa, tatamasahin) v., inf. enjoy wealth, good health, etc."
tambaas,,tambaas n. frank talk; direct talk
tambad,,tambad adj. exposed to view
tambag,,tambag n. substitute; proxy
tambak,,"tambak n. 1. embankment; terrace; 2. mound; 3. pile; 4. piling up (of papers, etc.)"
tambakan,,n. dump; dumping place
tambakan,,"tambakan (tinatambakan, tinambakan, tatambakan) v., inf. 1. fill up a place with sand, earth, etc.; 2. load; 3. tamp; 4. supply with too much"
tambakol,,"n., zoo. tuna fish (with yellow fins)"
tambal,,tambal 1. n.; 2. adj. 1. pair (in dancing); partners (business); 2. paired
tambalan,,adj. compound [gram.]
tambalan,,"tambalan (tinatambalan, tinambalan, tatambalan) v., inf. dance with another as a partner"
tamban,,"tamban n., zoo. species of herring/sardine"
tambang,,"tambang n. 1. ambush; 2. person watching for wild game, or in war for the enemy"
tambang,,tambang n. 1. trap for wild game; 2. poles for a net trap; 3. peg in the ground to tie up a rooster
tambangan,,n. 1. place for ambush; 2. vantage point for hunters of wild game
tambangan,,"tambangan (tinatambangan, tinambangan, tatambangan) v., inf. ambush"
tambanggalan,,tambanggalan n. excessive load; overload
tambaw,,tambaw n. howling of dogs
tambay,,tambay adj. 1. consumed; 2. finished; 3. killed instantaneously
tambay,,tambay adv. 1. instantly; immediately; 2. very soon after
tambiki,,"tambiki n., zoo. sole fish (species of)"
tambilang,,n. digit (any of the figures from zero to nine)
tambing,,tambing adv. 1. at once; 2. presently; very soon
tambis,,tambis adv. indirectly; in a roundabout way
tambisi,,tambisi 1. adv.; 2. n 1. half-heartedly; 2. half-hearted offer
tambiyolo,,n. lottery drum
tambo,,"tambo n., bot. reed"
tambobong,,n. rice granary; barn
tambog,,tambog n. loud splash of something falling flat on water
tambok,,tambok n. 1. bulge; protuberance; convexity; 2. swelling; 3. bulk
tambol,,tambol n. drum (music)
tambolero,,n. drummer (music)
tambubong,,n. rice granary; barn
tambugak,,1. adj.; 2. n 1. big and fat (ref. to a woman); 2. big and fat woman
tambuko,,n. 1. handgrip behind a shield; 2. pommel on saddle; 3. rowlock
tambukulan,,"n., zoo. small deer; young stag"
tambulero,,n. drummer (music)
tambuli,,tambuli n. native horn/bugle made out of horn
tambulin,,"tambulin (tinatambol, tinambol, tatambulin) v., inf. play (beat) the drum"
tambulog,,"n., zoo. elongated clam (species of)"
tambulukan,,adj. half-rotten (ref. to fish)
tamburin,,tamburin n. tambourine (music)
tambutso,,n. exhaust pipe of an automobile
tambyolo,,n. lottery drum
tami,,tami n. showing one's disapproval by protrusion of lower lip
tamis,,tamis n. 1. sweetness; 2. pleasure
tamis-tamisan,,"tamis-tamisan (tinatamis-tamisan, tinamis-tamisan, tatamis-tamisan) v., inf. make a little bit sweeter"
tamisan,,"tamisan (tinatamisan, tinamisan, tatamisan) v., inf. sweeten"
tamlay,,tamlay n. 1. lassitude; 2. debility; 3. indifference; 4. sluggishness; 5. depression
tamnan,,"tamnan (tinatamnan, tinamnan, tatamnan) v., inf. plant in (have a place planted with)"
tampa,,"tampa n. 1. bid (auction, etc.); 2. advance payment"
tampak,,"tampak adj. 1. patent; evident; 2. exposed to cold, heat, etc."
tampal,,tampal n. slap with open hand (not strong)
tampalasan,,adj. 1. wicked; 2. destructive
tampalasanin,,"(tinatampalasan, tinampalasan, tatampalasanin) v., inf. do harm to"
tampalin,,"tampalin (tinatampal, tinampal, tatampalin) v., inf. slap (with open hand)"
tampat,,tampat adj. deserving; meritorious
tampay,,tampay n. serenity
tampi,,tampi n. pat; light slap
tampipi,,"tampipi n. native clothes chest (made of bamboo, rattan or palm leaves)"
tampisawin,,"tampisawin (tinatampisaw, tinampisaw, tatampisawin) v., inf. 1. dabble (play with water); 2. paddle; 3. wade"
tampo,,tampo n. sulking; displeasure; complaint because of lack of attention
tampok,,tampok n. 1. elevated place; 2. cynosure; 3. gem set in a ring; 4. gem; showpiece
tampok,,"tampok n., bot. stem of fruits; stalk of flowers"
tampok na palabas,,tampok na palabas comp. feature; principal picture in a cinema
tampol,,tampol n. dashing of waves against cliffs
tampuhan,,tampuhan n. resentment; ill humour (US: humor)
tampuhin,,tampuhin adj. sulky; sullen; discontented
tampukan,,n. centre (US: center) of attraction
tampulan,,n. 1. cliffs against which the waves dash; 2. breakwater; 3. focus; cynosure
tamtaman,,n. mean value
tamtamang halaga,,comp. mean value
tamuhin,,"tamuhin (tinatamo, tinamo, tatamuhin) v., inf. 1. take; receive; obtain; 2. evoke; elicit"
tan-tan,,n. tom-tom
tan-tarantan,,tan-tarantan n. beat of a drum; drumbeat
tanan,,n. escapee
tanan,,tanan 1. pron.; 2. adj. 1. all; everybody; 2. entire; whole
tananan,,"(tinatananan, tinananan, tatananan) v., inf. escape from"
tanaw,,tanaw adj. 1. seen from distance; 2. in sight; 3. within sight
tanawan,,n. place from where one can view things far away
tanawan,,"tanawan (tinatanawan, tinanawan, tatanawan) v., inf. look at something far away"
tanawin,,"tanawin (tinatanaw, tinanaw, tatanawin) v., inf. look at from distance"
tanawin,,tanawin n. 1. view; outlook; 2. landscape; 3. panorama; 4. scene; vista
tanda,,n. work shift
tanda,,tanda n. 1. age; 2. old age; antiquity; 3. seniority in age
tanda,,tanda n. 1. sign; 2. omen; 3. symptom; 4. prognosis; 5. hallmark; 6. clue
tanda,,tanda n. retention; ability to remember
tanda (mga -),,"tanda n., pl. insignia; distinguishing marks"
tanda ng pagdaragdag,,tanda ng pagdaragdag comp. the sign for addition (+)
tandaan,,"tandaan (tinatandaan, tinandaan, tatandaan) v., inf. 1. mind; keep in mind; 2. remember"
tandang,,"tandang n., zoo. rooster"
tandang pananong,,tandang pananong comp. interrogation mark (?)
tandang pandamdam,,tandang pandamdam comp. exclamation mark (!)
tandang-tanda,,tandang-tanda adj. very well remembered; still fresh in one's mind
tandayag,,"n., zoo. whale"
tandis,,tandis 1. adj.; 2. adv. 1. certain; sure; 2. definitely
tandisan,,tandisan 1. adj.; 2. adv. 1. certain; sure; 2. definitely
tandos,,tandos n. lance; spear
tanga,,tanga n. 1. dolt; 2. gawk; 3. idiot; 4. dunce
tanga,,"tanga n., zoo. 1. potato worm; 2. clothes moth"
tangab,,n. oblique or slanting cut
tangab,,"tangab adj., n. harelipped; harelip [med.]"
tangad,,n. 1. center part of river/spring where water is purer (diff. meanings in diff. localities)
tangan,,adj. held in the hand
tangan-tangan,,"n., bot. castor oil plant"
tanganan,,"(tinatanganan, tinanganan, tatanganan) v., inf. take; lay hold of"
tanganan,,"tanganan n. 1. handle; 2. (rifle) butt, or the like"
tangantangan,,"n., bot. castor oil plant"
tangay,,"tangay adj. carried away (by wind, current, bird or prey, or emotions)"
tangayin,,"tangayin (tinatangay, tinangay, tatangayin) v., inf. sweep away; carry along"
tangga,,n. game of pitching coins
tanggal,,tanggal adj. 1. unfastened; detached; 2. dismissed from employment; 3. off
tanggalin,,"tanggalin (tinatanggal, tinanggal, tatanggalin) v., inf. 1. disjoin; disconnect; 2. detach; 3. loosen"
tanggalin,,"tanggalin adj. removable; that can be removed, detached, etc."
tanggalin sa pagkakabutones,,"tanggalin sa pagkakabutones (tinatanggal, tinanggal, tatanggalin (sa pagkakabutones)) comp. unbutton"
tanggap,,tanggap adj. received; accepted; admitted
tanggapan,,n. 1. office; 2. waiting room
tanggapan,,"tanggapan (tinatanggapan, tinanggapan, tatanggapan) v., inf. accept (receive) [idiomatic]"
tanggapin,,"tanggapin (tinatanggap, tinanggap, tatanggapin) v., inf. 1. accept; receive; 2. embrace [fig.]; 3. grant; 4. recognize; 5. concede"
tanggaping mulapik,,comp. acceptor atom
tanggi,,tanggi n. 1. negation; 2. refusal; 3. repulse
tanggihan,,"tanggihan (tinatanggihan, tinanggihan, tatanggihan) v., inf. 1. refuse; 2. disallow; 3. deny; 4. scorn; 5. repulse"
tangginggi,,"tangginggi n., zoo. Spanish mackerel"
tanggo,,n. tango (dance)
tanggol,,tanggol n. defence (US: defense)
tanggulan,,n. 1. defence (US: defense); 2. fort; 2. act of mutual defence
tanggunggong,,tanggunggong n. piggy bank made of coconut shell or bamboo
tanghal,,tanghal n. array; display
tanghalan,,n. 1. exhibition hall; 2. exhibition; 3. gallery; 4. show
tanghali,,tanghali n. late morning; noontide; noon
tanghalian,,n. midday meal; lunch; dinner (at noon)
tanghaliin,,"(tinatanghali, tinanghali, tatanghaliin) v., inf. be late in the morning"
tanghalin,,"tanghalin (tinatanghal, tinanghal, tatanghalin) v., inf. 1. exhibit; 2. honour (US: honor) or exalt someone publicly [fig.]"
tanghas,,tanghas n. joss stick (used in a Chinese temple)
tanghuran,,"tanghuran (tinatanghuran, tinanghuran, tatanghuran) v., inf. wait around hoping for something (expected) to happen"
tangi,,tangi adj. 1. exceptional; 2. only; 3. particular; 4. proper
tangi,,tangi adj. keeping to oneself
tangili,,"tangili n., bot. mahogany (the Philippine kind)"
tanging-tangi,,tanging-tangi adv. specially; in a special manner or degree
tangis,,n. weeping; mourning; lamenting
tangisan,,"(tinatangisan, tinangisan, tatangisan) v., inf. weep over; mourn; lament"
tangka,,tangka n. 1. intention; plan; 2. attempt; 3. premeditation
tangkaban,,"tangkaban (tinatangkaban, tinangkaban, tatangkaban) v., inf. give someone an uppercut with the fist (on the mouth or chin)"
tangkabin,,"tangkabin (tinatangkab, tinangkab, tatangkabin) v., inf. give someone an uppercut with the fist (on the mouth or chin)"
tangkad,,tangkad n. tallness of stature
tangkain,,"tangkain (tinatangka, tinangka, tatangkain) v., inf. 1. offer; attempt; intend; 2. undertake; try"
tangkakal,,n. protection; support; defence (US: defense)
tangkal,,"tangkal n. 1. coop (chicken coop, etc.); 2. prison [coll.]"
tangkalag,,tangkalag n. pulley
tangkas,,n. set (mathematics)
tangkas,,tangkas n. bundle of leaves (e.g. palm leaves)
tangkay,,"tangkay n., bot. stalk; stem"
tangkay ng walis,,tangkay ng walis comp. broomstick
tangke,,tangke n. 1. tank; container; 2. vat; 3. combat vehicle; tank
tangkil,,tangkil n. 1. annex; 2. roofing; 3. small barn; 4. light touch with the elbow in passing
tangkilik,,n. 1. patronage; 2. auspices; 3. protege; 4. moral protection
tangkilikan,,tangkilikan n. mutual support/protection
tangkilikin,,"(tinatangkilik, tinangkilik, tatangkilikin) v., inf. 1. help; 2. favour (US: favor); 3. protect; 4. patronize; 5. sponsor"
tangko,,tangko n. 1. light touch; 2. interested look in passing
tanglaw,,tanglaw n. light; illumination
tanglawan,,"tanglawan (tinatanglawan, tinanglawan, tatanglawan) v., inf. illumine; brighten"
tangnan,,"(tinatangnan, tinangnan, tatangnan) v., inf. take; lay hold of"
tango,,n. tango (dance)
tango,,tango n. bowing of the head as a sign of assent
tangos,,n. 1. cape; promontory; peninsula; 2. physical prominence (e.g. nose)
tangtang,,tangtang n. continuous jerky pulling of a rope or the like
tanguan,,"tanguan (tinatanguan, tinanguan, tatanguan) v., inf. say yes by nodding"
tangwa,,"tangwa n. the very edge of something high (e.g. precipice, building, etc.)"
tangway,,tangway n. peninsula
tanikala,,tanikala n. chain
tanikalaan,,"tanikalaan (tinatanikalaan, tinanikalaan, tatanikalaan) v., inf. fetter"
tanim,,tanim n. 1. plant; 2. ill-feeling planted in the heart; grudge [fig.]
taniman,,taniman n. place for planting; plantation
taning,,n. time limit; fixed time
taningan,,"(tinataningan, tinaningan, tataningan) v., inf. 1. number; 2. fix a time limit for a certain work; 3. provide with certain terms"
tanlak,,tanlak n. swampy/muddy place; bog; quagmire
tanlap,,n. television
tanod,,n. 1. guard; sentinel; 2. warder; 2. security officer
tanod-gubat,,n. ranger (person employed to guard the forest)
tanong,,tanong n. 1. question; query; 2. interrogation; inquiry
tansan,,tansan n. bottle cap
tanso,,tanso n. 1. bronze; 2. brass
Tanso,,Tanso n. Copper (Cu)
tansuin,,"tansuin (tinatanso, tinanso, tatansuin) v., inf. swindle; cheat"
Tantalum,,n. Tantalum (Ta)
tantiya,,tantiya n. estimate; calculation
tantiyahin,,"tantiyahin (tinatantiya, tinantiya, tatantiyahin) v., inf. feel; test; estimate"
tanto,,tanto adj. realized; known
tanto-porsiyento,,n. percentage
tantuin,,"tantuin (tinatanto, tinanto, tatantuin) v., inf. know; realize; be alive to"
tantya,,tantya n. estimate; calculation
tanungan,,tanungan n. 1. person from whom another asks advice/information; 2. exchange of questions/answers
tanungin,,"tanungin (tinatanong, tinanong, tatanungin) v., inf. 1. question; 2. interrogate"
tanungin ang nagsasalita,,"tanungin; nagsasalita (tinatanong, tinanong, tatanungin (ang nagsasalita)) v., inf. interpellate; interrogate a speaker"
tanuran,,"(tinatanuran, tinanuran, tatanuran) v., inf. guard; watch over"
tanyag,,tanyag adj. 1. celebrated; well-known; 2. distinguished
tao,,n. 1. man; human being; 2. fellow; 3. anybody; 4. personality
Tao po,,"Tao po! intrj. greeting of someone calling or knocking at the door, etc."
taob,,taob adj. 1. upside down; capsized; 2. bankrupt (banker in gambling)
taog,,n. high tide; rise of tide
taol,,taol n. disease of infants causing convulsions
taon,,taon n. year
taong,,n. black veil used by one in mourning
taong,,taong n. metal or wooden container for water
taong bale-wala,,bale-wala comp. a nobody; person of no importance
taong banal,,banal comp. saint; (very) holy person
taong bisyesto,,taong bisyesto comp. leap year
taong buhong,,buhong comp. scoundrel; rascal; unprincipled person
taong bulagsak,,"bulagsak comp. prodigal person; person who wastes money, etc."
taong burara,,"burara comp. sloven; person who is dirty or careless in appearance, work, etc."
taong de-karera,,comp. professional man
taong gala,,taong gala comp. vagrant; wanderer [n]
taong interesado,,n. enthusiast
taong itinakwil,,itinakwil comp. castoff; scum of society
taong laki,,laki sa layaw comp. spoilt person; person not used to hardships
taong litaw,,litaw comp. notable; person who is well-known or famous
taong magdaraya,,taong magdaraya comp. fraud; swindler
taong makademokrasya,,n. democrat
taong makasarili,,comp. egotist; conceited person
taong mangmang,,taong mangmang comp. ignoramus [n]
taong mapagbigay-pangamba,,mapagbigay-pangamba comp. person who alarms others needlessly
taong mapagbigay-takot,,mapagbigay-takot comp. person who alarms others needlessly
taong mapagpatawa,,mapagpatawa comp. humorist [n]
taong mapanakot,,comp. person who alarms others needlessly
taong mapanghimasok,,comp. meddler; intruder [n]
taong masiba,,masiba comp. person with an excessive appetite for anything; glutton
taong masigasig,,n. enthusiast
taong masigla,,masigla n. enthusiast
taong matakaw,,comp. glutton; greedy person
taong may-gulugod,,may-gulugod comp. person with backbone; strong character
taong may-malasakit,,comp. person who feels concern
taong may-sakit,,may-sakit comp. sick person; case
taong naghahangad,,"naghahangad comp. person who aspires (a high position, etc.)"
taong naglalakad,,naglalakad comp. pedestrian [n]
taong nakaluluwag sa buhay,,nakaluluwag comp. middle-class person
taong napakabanal,,napakabanal comp. saint; (very) holy person
taong pagala-gala,,pagala-gala comp. 1. loafer (implying moral fault); 2. straggler
taong palibut-libot,,comp. itinerant [n]
taong pares,,taong pares n. leap year
taong pasyalero,,comp. gadabout; person who goes about looking for pleasure
taong taksil,,taksil comp. serpent [fig.]; sly treacherous person
taong tinawag sa pagsusundalo o pagmamarino,,n. person compelled to serve in army or navy; conscript
taong walang-gulugod,,walang-gulugod comp. person without backbone; weak character
taong-bahay,,n. person left at home to mind the house
taong-bayan,,n. townsman; one who lives in a town
taong-bundok,,taong-bundok n. person who lives in the mountain
taong-gubat,,n. savage; person living somewhat as wild animals do
taong-lansangan,,n. gadabout
taong-makalupa,,taong-makalupa n. materialist
taong-mapanlinlang,,taong-mapanlinlang n. sly and treacherous person; snake [fig.]
taong-nayon,,n. villager
taos,,taos 1. adj.; 2. adv. 1. deep; deep-felt; sincere; 2. sincerely; geniunly
taos-puso,,taos-puso 1. adj.; 2. adv. 1. heartfelt; sincere; 2. fervently; sincerely
tapa,,n. sliced dried meat; jerked meat
tapa,,tapa adj. cured by exposing to smoke (meat/fish)
tapahan,,tapahan n. 1. smokehouse; 2. kiln (for copra)
tapahin,,"(tinatapa, tinapa, tatapahin) v., inf. jerk or dry meat in slices"
tapahin,,"tapahin (tinatapa, tinapa, tatapahin) v., inf. 1. smoke fish/meat; 2. harden by heat (pots, tiles, etc.)"
tapahin,,tapahin adj. ref. to meat set aside for drying/jerking
tapak,,n. footfall; step
tapak,,"tapak adj., adv. barefooted; barefoot"
tapakan,,"(tinatapakan, tinapakan, tatapakan) v., inf. step on; tramp on; tread on"
tapakan,,tapakan n. act of stepping on each others's feet
tapal,,"n. 1. cloth used for mending; 2. medical patch; plaster, etc."
tapalan,,"(tinatapalan, tinapalan, tatapalan) v., inf. 1. poultice; apply a plaster; 2. seal cracks, etc.; 3. patch a hole in cloth, etc."
tapalodo,,n. mudguard
tapang,,"n. 1. bravery; 2. grit; 3. gallantry; 4. pluck; 5. intrepidity; 6. strength of wine, vinegar, etc."
tapang ng mukha,,mukha comp. effrontery; impudence; audacity
tapangan,,"(tinatapangan, tinapangan, tatapangan) v., inf. 1. make brave; 2. make strong (coffee, alcoholic drinks, etc.)"
tapas,,n. 1. de-husking of coconuts; 2. lopping of trees
tapas,,tapas adj. lopped evenly
tapasan,,"(tinatapasan, tinapasan, tatapasan) v., inf. 1. cut off the husk of a coconut; 2. lop the top evenly"
tapat,,tapat adj. 1. devoted; 2. sincere; 3. constant; 4. frank; 5. genuine; 6. honest
tapat,,tapat adj. 1. direct; straight; 2. in front of
tapat kung magsalita,,tapat; magsalita comp. outspoken; frank; not reserved
tapat-loob,,tapat-loob adj. frank; sincere
tapat-na-loob,,tapat-na-loob adj. frank; sincere
tapat-tapat,,tapat-tapat adj. 1. in front of one another; 2. facing each other
tapat-tapatin,,"tapat-tapatin (tinatapat-tapat, tinapat-tapat, tatapat-tapatin) v., inf. arrange things in front of each other"
tapatan,,"tapatan (tinatapatan, tinapatan, tatapatan) v., inf. 1. stand/go in front of someone; 2. put directly in front of or beneath"
tapatan,,tapatan 1. n.; 2. adj. 1. short cut to a place; 2. direct
tapatan,,tapatan adv. openly; frankly; in a true manner
tapatin,,"tapatin (tinatapat, tinapat, tatapatin) v., inf. take a short cut to a place"
tapatin,,"tapatin (tinatapat, tinapat, tatapatin) v., inf. tell the truth"
tapay,,"n. 1. dough; 2. abbr. for ""tinapay"" used by children"
tapayan,,n. large earthenware jar
tape,,n. 1. tape; strip; 2. magnetic tape for recording
taper,,n. taper; long wick coated with wax
tapete,,n. rug; small carpet; cloth cover for table or chest
tapi,,"tapi n. 1. apron; 2. anything used as an apron, etc."
tapik,,tapik n. light pat with the hand or fingers
tapik-tapikin nang masuyo,,"tapik-tapikin; masuyo (tinatapik-tapik, tinapik-tapik, tatapik-tapikin (nang masuyo)) comp. pat lovingly and gently"
tapikin,,"tapikin (tinatapik, tinapik, tatapikin) v., inf. pat with the palm of the hand or fingers"
tapil,,n. short stick for digging the ground
tapil,,tapil adj. having a flattened forehead; flat-nosed
taping,,n. pest affecting animals
taping,,taping n. dirt on the face (of a child)
tapioca,,n. tapioca
tapis,,n. piece of cloth like an apron (for a native dress)
tapisera,,tapisera n. tapestry (fabric with pictures/designs)
tapiserya,,tapiserya n. tapestry (fabric with pictures/designs)
tapon,,n. 1. waste; 2. deportee; exile
tapon,,tapon n. cork; plug; tap; stopper
tapong,,tapong adj. said of one who is included in the family in preparation of food for a meal
tapos,,"n. 1. end; conclusion; 2. last day of a ""novena"" (9 days of prayers) [rel.]"
tapos,,tapos adj. 1. finished; 2. complete; 3. accomplished
tapos-kapbayan,,n. chemistry graduate
tapsak,,tapsak n. water dropping or splashing from a height
tapsaw,,tapsaw n. 1. marks made by blows on the bark of trees; 2. flying chips from wood-chopping
tapunan,,"(tinatapunan, tinapunan, tatapunan) v., inf. 1. be hurled (accidentally); 2. be accidentally spilled"
tapunan,,"tapunan (tinatapunan, tinapunan, tatapunan) v., inf. cork; put a cork in"
tapunan,,tapunan n. 1. rubbish dump; 2. place of deportation; 3. limbo (extended sense)
tapusan,,"(tinatapusan, tinapusan, tatapusan) v., inf. pay the last instalment (US: installment) of a debt/loan"
tapusan,,tapusan n. last day of 9 days prayers (novena) or period of mourning
tapusin,,"(tinatapos, tinapos, tatapusin) v., inf. 1. complete; 2. conclude; 3. terminate"
tapyas,,tapyas n. 1. bevel; chamfer; 2. facet
tapyasan,,"tapyasan (tinatapyasan, tinapyasan, tatapyasan) v., inf. bevel; chamfer"
tapyasin,,"tapyasin (tinatapyas, tinapyas, tatapyasin) v., inf. chip (cut small pieces from wood, stone, etc.)"
tapyoka,,n. tapioca
tarakan,,"(tinatarakan, tinarakan, tatarakan) v., inf. 1. stab someone and leave the weapon in the victim; 2. stake out; mark with stakes"
tarakan,,"tarakan n., bot. dwarf coconut palm"
tarang,,tarang n. rapid stamping of the feet in pain or anger
tarangka,,tarangka n. crossbar; sliding bolt; pole
tarangkado,,adj. fastened with a latch/bar
tarangkahan,,"tarangkahan (tinatarangkahan, tinarangkahan, tatarangkahan) v., inf. fasten with a bolt/bar (gate; door; window)"
tarangkahan,,tarangkahan n. 1. gate with a latch/bolt; 2. ring/hole for a latch
taranta,,taranta adj. disconcerted; perturbed; upset
tarantado,,adj. foolish; silly; shameless; disrespectful
tarantahin,,"tarantahin (tinataranta, tinaranta, tatarantahin) v., inf. 1. disconcert; 2. baffle; perplex"
tarapal,,tarapal n. tarpaulin
taras,,"taras n. candour, boldness or arrogance in speech"
tarato,,n. agreement; dealing with; treatment
taratuhin,,"(tinatarato, tinarato, tataratuhin) v., inf. treat; deal with; handle"
target,,n. target
tarheta,,n. visiting card; business card
tari,,tari n. bladed spur attached to the leg of a fighting cock
tarik,,tarik n. steepness; slope
tarik ng burol,,comp. evaporite [n] (petro)
tarikan,,"tarikan (tinatarikan, tinarikan, tatarikan) v., inf. make something steep"
tarima,,n. low movable platform; low bench; stand
taripa,,n. 1. tariff; rate; 2. customs tariff
tarlak,,"tarlak n., bot. species of cane similar to sugarcane"
taro,,"n. 1. jar (esp. for pomade, ointment, etc.); 2. mug"
tarok,,"tarok adj. comprehended; solved (ref. to some mysteri, etc.)"
tarol,,n. 1. bathometer; 2. packing of a deep wound with gauze and medicine
taros,,taros n. care; thoughtfulness (usually used negatively)
tartanilya,,n. two-wheeled horse-drawn carriage
tartaro,,tartaro n. 1. cream of tartar; 2. tartar of the teeth
tarugo,,n. wooden peg for fastening a door or window
tarukin,,"tarukin (tinatarok, tinarok, tatarukin) v., inf. understand thoroughly; comprehend"
tarundon,,tarundon n. low and narrow bank of earth used as pathway betweeen rice paddies
tasa,,n. 1. assessment (taxation); 2. appraisal; valuation
tasa,,"n. cup (coffee cup, etc.)"
tasa,,n. dieting; self-control in eating
tasa,,tasa n. sharpened point of a pencil
Tasaday,,n. tribe of cave dwellers living in Southern Cotobato (Mindanao)
tasado,,"adj. 1. limited (expenses, food, supplies, etc.); 2. dieting"
tasador,,tasador n. assessor (one who estimates taxation)
tasahan,,"(tinatasahan, tinasahan, tatasahan) v., inf. 1. estimate; 2. appraise; 3. give a price"
tasahan,,"(tinatasahan, tinasahan, tatasahan) v., inf. 1. limit; restrict; 2. put on a diet"
tasahan,,"tasahan (tinatasahan, tinasahan, tatasahan) v., inf. sharpen the point (e.g. of a pencil)"
tasak,,n. a stab with anything pointed
tasasyon,,tasasyon n. 1. appraisement (taxation); 2. appraisal; valuation
tasik,,n. 1. salt water filtered through sand in process of salt-making; 2. brine
tason,,tason n. bowl; saucer
tastas,,tastas adj. unstitched; detached; ripped
tastas,,tastas n. 1. rip; 2. run (on clothes)
tastasin,,"tastasin (tinatastas, tinastas, tatastasin) v., inf. unstitch; unseam; rip"
tata,,"n. conversational term for ""ama"" (father)"
tata,,tata n. sign made by a sharp blade
tatag,,tatag 1. n.; 2. adj. 1. security; solidity; 2. established; organized
tatagan,,"tatagan (tinatatagan, tinatagan, tatatagan) v., inf. 1. establish something in a place; 2. make firm"
tataghay,,n. organism
tatagin,,n. institution; establishment
tatagukan,,n. windpipe
tatagukan,,tatagukan n. Adam's apple
